"id","name","code","user_type_id/id","chart_template_id/id","currency_id/id","reconcile"
"cuenta201650","Otras Retenciones por pagar","201650","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20165001","Retenciones por Multas Disciplinarias","20165001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20165002","Retenciones Judiciales","20165002","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20210001","Prevision para Indemnizaciones","20210001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20220001","Prestamos Bancarios","20220001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20220002","Intereses a Pagar","20220002","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta20310001","Ingresos Diferidos","20310001","account.data_account_type_current_liabilities","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta30100001","Capital Social","30100001","account.data_account_type_equity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta30100002","Ajuste de Capital","30100002","account.data_account_type_equity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta30200001","Reserva Legal","30200001","account.data_account_type_equity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta30200002","Reserva de Capital","30200002","account.data_account_type_equity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta30200003","Reserva por Revaluos Tecnicos","30200003","account.data_account_type_equity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta30200004","Ajuste de Reservas Patrimoniales","30200004","account.data_account_type_equity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta30300001","Resultados Acumulados","30300001","account.data_account_type_equity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta30300002","Resultados del Ejercicio","30300002","account.data_account_type_equity","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta40110001","Venta de Bienes","40110001","account.data_account_type_revenue","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta40110002","Venta de Servicios","40110002","account.data_account_type_revenue","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta40210001","Intereses Ganados","40210001","account.data_account_type_revenue","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta40210002","Descuentos en Compras","40210002","account.data_account_type_revenue","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta50110001","Costo de Mercaderia Vendida","50110001","account.data_account_type_direct_costs","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta50110002","Descuentos sobre Ventas","50110002","account.data_account_type_direct_costs","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta50210001","Costo del Servicio Prestado","50210001","account.data_account_type_direct_costs","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60110001","Sueldos","60110001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60110002","Aportes Patronales","60110002","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60110003","Aguinaldos","60110003","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60110004","Indemnizacion","60110004","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60110005","Bono de Antigüedad","60110005","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60110006","Bonos de Produccion","60110006","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60110007","Primas","60110007","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60110008","Vacaciones","60110008","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60110009","Subsidios","60110009","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60120001","Capacitacion","60120001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60130001","Materiales","60130001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60140001","Viajes","60140001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60150001","Publicidad - Representacion y Cortesia","60150001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60150002","Marketing CISCO","60150002","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60150003","Suscripcion Partners","60150003","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60160001","Movilidades","60160001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60160002","Boletas de Garantia","60160002","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60160003","Licitaciones","60160003","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60160004","Gastos Bancarios","60160004","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60160005","Otros Gastos","60160005","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60160006","Fletes y Transporte","60160006","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60160007","Capacitacion Clientes","60160007","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60210001","Sueldos","60210001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60210002","Aportes Patronales","60210002","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60210003","Aguinaldos","60210003","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60210004","Indemnizacion","60210004","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60210005","Bono de Antigüedad","60210005","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60210006","Bonos de Produccion","60210006","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60210007","Primas","60210007","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60210008","Vacaciones","60210008","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60210009","Subsidios","60210009","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60220001","Capacitacion","60220001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60230001","Materiales","60230001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60240001","Viajes","60240001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60250001","Movilidades","60250001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60250002","Otros Gastos","60250002","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310001","Tramites y Licencias","60310001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310002","Consultoria Impositiva","60310002","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310003","Auditoria Externa","60310003","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310004","Consultoria ISO 9001","60310004","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310005","Honorarios Profesionales","60310005","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310006","Servicios Legales","60310006","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310007","Suscripcion y Publicaciones","60310007","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310008","Servicio de Luz","60310008","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310009","Servicio de Agua","60310009","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta6031001","Mantenimiento y Limpieza","6031001","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310011","Courrier y correos","60310011","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310012","Alquileres","60310012","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310013","Servicios de Seguridad y Vigilancia","60310013","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310014","Mantenimiento y Soporte Tecnico","60310014","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
"cuenta60310015","Gastos Soluciones Tecnologicas","60310015","account.data_account_type_expenses","l10n_bo_sin.bo_chart_template_sin","","False"
